particleID,gravelometer_size,Date1,Date2,DistanceD,intersect,intersect_area,MaxD,MinD,Radius1,Radius2,event,valid_euc,valid_min,valid_max,moved_euc,moved_min,moved_max,counted_moved_euc,counted_moved_min,counted_moved_max
14,64.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
14,64.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
14,64.0,08_24_22,03_24_2023,,,0.0,,,,,M5,False,False,False,False,False,False,False,False,False
14,64.0,03_24_2023,06_17_2023,,,0.0,,,,,M6,False,False,False,False,False,False,False,False,False
14,64.0,06_17_2023,07_31_2023,,,0.0,,,,,M7,False,False,False,False,False,False,False,False,False
14,64.0,07_31_2023,09_20_2023,,,0.0,,,,,M8,False,False,False,False,False,False,False,False,False
15,64.0,03_28_2022,07_06_2022,0.392289249,False,0.0,0.587027597,0.1975509,0.060541507,0.134196841,M1,True,True,True,True,True,True,False,False,False
15,64.0,07_06_2022,08_06_2022,0.259101387,False,0.0,0.424114751,0.094088023,0.134196841,0.030816523,M2,True,False,True,True,False,True,True,False,True
15,64.0,08_06_2022,08_09_2022,0.135459566,False,0.0,0.253200372,0.01771876,0.030816523,0.086924283,M3,True,False,True,True,False,True,True,False,True
15,64.0,08_09_2022,08_24_22,0.188197609,True,0.002230928,0.406811801,0.0,0.086924283,0.131689909,M4,True,False,True,True,False,True,True,False,True
15,64.0,08_24_22,03_24_2023,,,0.0,,,0.131689909,,M5,False,False,False,False,False,False,False,False,False
15,64.0,03_24_2023,06_17_2023,,,0.0,,,,0.22864942,M6,False,False,False,False,False,False,False,False,False
15,64.0,06_17_2023,07_31_2023,0.101725071,False,0.0,0.365966356,0.0,0.22864942,0.035591865,M7,False,False,True,False,False,True,False,False,False
15,64.0,07_31_2023,09_20_2023,0.142972473,True,0.001766424,0.31987594,0.0,0.035591865,0.141311602,M8,True,False,True,True,False,True,False,False,True
16,64.0,03_28_2022,07_06_2022,0.207730119,True,0.036537668,0.588884474,0.0,0.143476252,0.237678104,M1,False,False,True,False,False,True,False,False,False
16,64.0,07_06_2022,08_06_2022,0.13411287,True,0.046709817,0.497469856,0.0,0.237678104,0.125678882,M2,False,False,True,False,False,True,False,False,True
16,64.0,08_06_2022,08_09_2022,0.052949484,True,0.030129554,0.28656476,0.0,0.125678882,0.107936394,M3,False,False,True,False,False,False,False,False,False
16,64.0,08_09_2022,08_24_22,0.148751872,True,0.004272438,0.345972944,0.0,0.107936394,0.089284677,M4,True,False,True,True,False,True,False,False,True
16,64.0,08_24_22,03_24_2023,1.536421787,False,0.0,1.786122555,1.28672102,0.089284677,0.16041609,M5,True,True,True,True,True,True,True,False,True
16,64.0,03_24_2023,06_17_2023,6.502599729,False,0.0,7.349472549,5.65572691,0.16041609,0.686456729,M6,True,True,True,True,True,True,True,True,True
16,64.0,06_17_2023,07_31_2023,0.380892546,True,0.571517969,1.533677005,0.0,0.686456729,0.46632773,M7,False,False,True,False,False,True,False,False,True
16,64.0,07_31_2023,09_20_2023,,,0.0,,,0.46632773,,M8,False,False,False,False,False,False,False,False,False
17,64.0,03_28_2022,07_06_2022,0.100502014,False,0.0,0.108786641,0.092217386,0.004791179,0.003493448,M1,True,True,True,True,True,True,False,False,False
17,64.0,07_06_2022,08_06_2022,0.059423913,False,0.0,0.071176145,0.047671682,0.003493448,0.008258784,M2,True,True,True,False,False,False,False,False,False
17,64.0,08_06_2022,08_09_2022,0.018893095,False,0.0,0.05612738,0.0,0.008258784,0.028975501,M3,False,False,True,False,False,False,False,False,False
17,64.0,08_09_2022,08_24_22,0.031530301,False,0.0,0.148939322,0.0,0.028975501,0.088433519,M4,False,False,True,False,False,False,False,False,False
17,64.0,08_24_22,03_24_2023,0.023365053,False,0.0,0.140569132,0.0,0.088433519,0.02877056,M5,False,False,True,False,False,False,False,False,False
17,64.0,03_24_2023,06_17_2023,0.036378591,True,0.002591516,0.12953735,0.0,0.02877056,0.064388199,M6,False,False,True,False,False,False,False,False,False
17,64.0,06_17_2023,07_31_2023,0.02847315,True,0.008175025,0.15043197,0.0,0.064388199,0.057570621,M7,False,False,True,False,False,False,False,False,False
17,64.0,07_31_2023,09_20_2023,2.579643904,False,0.0,5.456597832,0.0,0.057570621,2.819383307,M8,False,False,True,False,False,True,False,False,True
18,64.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
18,64.0,07_06_2022,08_06_2022,,,0.0,,,,,M2,False,False,False,False,False,False,False,False,False
18,64.0,08_06_2022,08_09_2022,,,0.0,,,,,M3,False,False,False,False,False,False,False,False,False
18,64.0,08_09_2022,08_24_22,,,0.0,,,,,M4,False,False,False,False,False,False,False,False,False
18,64.0,08_24_22,03_24_2023,,,0.0,,,,,M5,False,False,False,False,False,False,False,False,False
18,64.0,03_24_2023,06_17_2023,,,0.0,,,,0.008037744,M6,False,False,False,False,False,False,False,False,False
18,64.0,06_17_2023,07_31_2023,0.078275346,False,0.0,0.119024092,0.0375266,0.008037744,0.032711002,M7,True,True,True,True,True,True,False,False,False
18,64.0,07_31_2023,09_20_2023,0.062091372,True,0.001655689,0.159352148,0.0,0.032711002,0.064549774,M8,False,False,True,False,False,False,False,False,False
19,64.0,03_28_2022,07_06_2022,1.283792104,False,0.0,1.841874857,0.725709351,0.422868677,0.135214076,M1,True,True,True,True,True,True,False,False,False
19,64.0,07_06_2022,08_06_2022,0.0425851,False,0.0,0.228792997,0.0,0.135214076,0.050993821,M2,False,False,True,False,False,False,False,False,False
19,64.0,08_06_2022,08_09_2022,0.012300909,False,0.0,0.136902317,0.0,0.050993821,0.073607587,M3,False,False,True,False,False,False,False,False,False
19,64.0,08_09_2022,08_24_22,0.068012491,True,0.000135285,0.148320828,0.0,0.073607587,0.006700751,M4,False,False,True,False,False,True,False,False,True
19,64.0,08_24_22,03_24_2023,0.4793135,False,0.0,0.567464131,0.391162868,0.006700751,0.081449881,M5,True,True,True,True,True,True,True,True,True
19,64.0,03_24_2023,06_17_2023,1.245701504,False,0.0,1.871604213,0.619798794,0.081449881,0.544452828,M6,True,True,True,True,True,True,True,True,True
19,64.0,06_17_2023,07_31_2023,0.98142077,True,0.039165201,2.080350018,0.0,0.544452828,0.55447642,M7,True,False,True,True,False,True,True,False,True
19,64.0,07_31_2023,09_20_2023,0.060339755,True,0.955199624,1.211812959,0.0,0.55447642,0.596996783,M8,False,False,True,False,False,False,False,False,False
20,45.0,03_28_2022,07_06_2022,1.13720079,False,0.0,1.432417983,0.841983598,0.261577772,0.03363942,M1,True,True,True,True,True,True,False,False,False
20,45.0,07_06_2022,08_06_2022,0.086557913,False,0.0,0.170671147,0.002444679,0.03363942,0.050473814,M2,True,False,True,True,False,True,True,False,True
20,45.0,08_06_2022,08_09_2022,0.003875325,False,0.0,0.111766633,0.0,0.050473814,0.057417495,M3,False,False,True,False,False,False,False,False,False
20,45.0,08_09_2022,08_24_22,0.031025659,True,0.002914268,0.119688718,0.0,0.057417495,0.031245565,M4,False,False,True,False,False,False,False,False,False
20,45.0,08_24_22,03_24_2023,0.061030891,False,0.0,0.104526539,0.017535243,0.031245565,0.012250083,M5,True,False,True,True,False,True,True,False,True
20,45.0,03_24_2023,06_17_2023,0.196662494,False,0.0,0.243163427,0.150161561,0.012250083,0.03425085,M6,True,True,True,True,True,True,True,True,True
20,45.0,06_17_2023,07_31_2023,0.233786226,False,0.0,0.353481552,0.114090899,0.03425085,0.085444476,M7,True,True,True,True,True,True,True,True,True
20,45.0,07_31_2023,09_20_2023,,,0.0,,,0.085444476,,M8,False,False,False,False,False,False,False,False,False
21,64.0,03_28_2022,07_06_2022,,,0.0,,,,,M1,False,False,False,False,False,False,False,False,False
